"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Deinandra paniculata","paniculate tarplant","Asteraceae","annual herb","4.2","G4","S4","None","None","(Mar)Apr-Nov(Dec)","Coastal scrub, Valley and foothill grassland, Vernal pools","usually vernally mesic, sometimes sandy","25","80","940","3085","F","BA","ORA, RIV, SBA, SBD, SDG, SLO","Tecate (3211656), Otay Mesa (3211658), Jamul Mountains (3211668), Imperial Beach (3211751), National City (3211761), Santa Ysabel (3311616), Palomar Observatory (3311637), Beauty Mountain (3311646), Aguanga (3311647), Vail Lake (3311648), Anza (3311656), Cahuilla Mtn. (3311657), Sage (3311658), Blackburn Canyon (3311667), Hemet (3311668), San Marcos (3311722), San Luis Rey (3311723), Bonsall (3311732), Las Pulgas Canyon (3311734), San Onofre Bluff (3311735), Pechanga (3311741), Temecula (3311742), Margarita Peak (3311744), San Clemente (3311745), Dana Point (3311746), Bachelor Mtn. (3311751), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Winchester (3311761), Romoland (3311762), Lake Elsinore (3311763), Alberhill (3311764), Santiago Peak (3311765), El Toro (3311766), Lakeview (3311771), Perris (3311772), Steele Peak (3311773), Lake Mathews (3311774), Corona South (3311775), Orange (3311777), Sunnymead (3311782), Riverside East (3311783), Riverside West (3311784), Corona North (3311785), Prado Dam (3311786), Venice (3311884), Fontana (3411714), Guasti (3411715), Newhall (3411845), Piru (3411847), Santa Barbara (3411946), Lake Cachuma (3411958), Santa Ynez (3412051), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Foxen Canyon (3412072), Sisquoc (3412073), Orcutt (3412074), Casmalia (3412075), Guadalupe (3412085), Mettler (3511818), Coal Oil Canyon (3511911), Huasna Peak (3512013), Nipomo (3512014), Oceano (3512015), Tar Spring Ridge (3512024), Arroyo Grande NE (3512025), Pismo Beach (3512026), Pozo Summit (3512033), Santa Margarita Lake (3512034), San Luis Obispo (3512036), Morro Bay South (3512037), Camatta Ranch (3512043), Atascadero (3512046), Morro Bay North (3512047), Camatta Canyon (3512053), Piedras Blancas (3512163), Burro Mountain (3512173)","","","","","","","","","","","","","Some historical occurrences extirpated by urbanization.  Threatened by development. Potentially threatened by road widening. Includes plants previously treated as D. increscens ssp. foliosa from SBA and SLO cos.  Confused with D. conjugens and D. fasciculata.  See Hemizonia paniculata in TJM (1993).  See Proceedings of the American Academy of Arts and Sciences 19:17 (1883) for original description.","Deinandra paniculata (A. Gray) Davidson & Moxley","","PDAST4R0N0","HEPA6","","","2001-01-01","","2016-03-24",
"Delphinium inopinum","unexpected larkspur","Ranunculaceae","perennial herb","4.3","G3","S3","None","None","May-Jul","Upper montane coniferous forest (rocky, metamorphic)","","1890","6200","2800","9185","T","","FRE, INY, KRN, TUL, VEN","Alamo Mountain (3411868), Lockwood Valley (3411961), Cuddy Valley (3411971), Sawmill Mountain (3411972), Claraville (3511843), Piute Peak (3511844), Woolstalf Creek (3511853), Lake Isabella South (3511854), Lamont Peak (3511871), Tobias Peak (3511875), Sentinel Peak (3611815), Solo Peak (3611816), Camp Wishon (3611826), Quinn Peak (3611835), Mineral King (3611845), Mt. Kaweah (3611854), Cedar Grove (3611876), Wren Peak (3611877), Woodville (3611912), Bishop (3711834), Tungsten Hills (3711835)","30","9","11","0","0","0","10","30","0","30","0","0","Threatened by logging, mining, recreational activities, and vehicles.","Delphinium inopinum (Jeps.) Lewis & Epl.","","PDRAN0B0W0","DEIN","","","1974-01-01","","2010-03-15",
"Delphinium parryi ssp. blochmaniae","dune larkspur","Ranunculaceae","perennial herb","1B.2","G4T2","S2","None","None","Apr-Jun","Chaparral (maritime), Coastal dunes","","0","0","200","655","T","","SBA, SLO, VEN","Thousand Oaks (3411827), Camarillo (3411921), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Orcutt (3412074), Casmalia (3412075), Santa Maria (3412084), Point Sal (3412086), Oceano (3512015), Arroyo Grande NE (3512025), Pismo Beach (3512026), Lopez Mtn. (3512035), Morro Bay South (3512037), Santa Margarita (3512045), Pico Creek (3512152), Pebblestone Shut-in (3512161), San Simeon (3512162)","27","0","2","4","1","0","20","22","5","27","0","0","Field work needed.  Threatened by development.","Delphinium parryi Gray ssp. blochmaniae (Greene) Lewis & Epl.","","PDRAN0B1B1","DEPAB","","","1988-01-01","","2010-03-15",
"Delphinium parryi ssp. purpureum","Mt. Pinos larkspur","Ranunculaceae","perennial herb","4.3","G4T4","S4","None","None","May-Jun","Chaparral, Mojavean desert scrub, Pinyon and juniper woodland","","1000","3280","2600","8530","T","","KRN, SBA, VEN","Idyllwild (3311666), Cabazon (3311687), Beaumont (3311688), Big Bear Lake (3411628), Fawnskin (3411638), Thousand Oaks (3411827), Newbury Park (3411828), Mint Canyon (3411844), Newhall (3411845), Green Valley (3411854), Cobblestone Mtn. (3411857), Devils Heart Peak (3411858), Liebre Mtn. (3411866), Black Mtn. (3411867), Alamo Mountain (3411868), Neenach School (3411875), Frazier Mtn. (3411878), Winters Ridge (3411886), Pastoria Creek (3411887), Grapevine (3411888), Topatopa Mountains (3411951), Lion Canyon (3411952), Wheeler Springs (3411953), Old Man Mountain (3411954), Lockwood Valley (3411961), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Cuddy Valley (3411971), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Salisbury Potrero (3411976), Hurricane Deck (3411977), Bald Mountain (3411978), Santiago Creek (3411983), Peak Mountain (3411987), Bates Canyon (3411988), Zaca Lake (3412071), Tehachapi South (3511814), Cache Peak (3511822), Cross Mountain (3511832), Emerald Mtn. (3511833), Pinyon Mtn. (3511842), Claraville (3511843), Democrat Hot Springs (3511856), Caliente Mtn. (3511917), Taylor Canyon (3511918), California Valley (3512031)","","","","","","","","","","","","","Possibly threatened by development.  See Brittonia 8:15 (1954) for original description, and Phytologia 68(1):1-3 (1990) for revised nomenclature.","Delphinium parryi Gray ssp. purpureum (Lewis & Epl.) Warnock","Delphinium parishii ssp. purpureum","PDRAN0B1B5","DEPAP6","","","1974-01-01","","2010-03-15",
"Delphinium umbraculorum","umbrella larkspur","Ranunculaceae","perennial herb","1B.3","G3","S3","None","None","Apr-Jun","Chaparral, Cismontane woodland","","400","1310","1600","5250","T","","MNT, SBA, SLO, VEN","Santa Paula Peak (3411941), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Old Man Mountain (3411954), Hildreth Peak (3411955), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Big Pine Mtn. (3411966), San Rafael Mtn. (3411967), Figueroa Mtn. (3411968), Salisbury Potrero (3411976), Hurricane Deck (3411977), Bald Mountain (3411978), Bates Canyon (3411988), Santa Ynez (3412051), Santa Rosa Hills (3412053), Lompoc Hills (3412054), Los Olivos (3412061), Zaca Lake (3412071), Manzanita Mtn. (3412081), Tepusquet Canyon (3412082), Caliente Mtn. (3511917), Taylor Canyon (3511918), Chimineas Ranch (3511928), Miranda Pine Mtn. (3512011), Chimney Canyon (3512012), Branch Mtn. (3512021), Los Machos Hills (3512022), Tar Spring Ridge (3512024), Pismo Beach (3512026), Pozo Summit (3512033), Santa Margarita Lake (3512034), Morro Bay North (3512047), York Mountain (3512057), Cypress Mountain (3512058), Adelaida (3512067), Lime Mountain (3512068), Hames Valley (3512088), Espinosa Canyon (3612111), Cosio Knob (3612112), Thompson Canyon (3612122), Junipero Serra Peak (3612124), Chews Ridge (3612135), Big Sur (3612137), Chualar (3612155), Spreckels (3612156), Monterey (3612158)","84","3","5","3","0","0","73","43","41","84","0","0","Possibly threatened by grazing.  Hybridizes with D. parryi ssp. parryi. See Brittonia 8:19 (1954) for original description, and Phytologia 67(6):490-491 (1989) for taxonomic treatment.","Delphinium umbraculorum Lewis & Epl.","","PDRAN0B1W0","DEUM","","","1974-01-01","","2010-03-15",
"Dichondra occidentalis","western dichondra","Convolvulaceae","perennial rhizomatous herb","4.2","G3G4","S3S4","None","None","(Jan)Mar-Jul","Chaparral, Cismontane woodland, Coastal scrub, Valley and foothill grassland","","50","160","500","1640","F","BA","LAX, MRN, ORA, SBA, SCT, SCZ, SDG, SMI, SRO, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), Poway (3211781), Del Mar (3211782), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Morro Hill (3311733), Las Pulgas Canyon (3311734), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Santa Catalina North (3311844), Venice (3311884), Triunfo Pass (3411818), Tranquillon Mtn. (3412055)","","","","","","","","","","","","","Records for MRN Co. are questionable; report from LAX Co. needs confirmation.  Possibly threatened by development.  See Muhlenbergia 1:130-131 (1906) for original description.","Dichondra occidentalis House","","PDCON08060","DIOC2","","","1974-01-01","","2011-07-25",
"Diplacus vandenbergensis","Vandenberg monkeyflower","Phrymaceae","annual herb","1B.1","G1","S1","None","FE","Apr-Jun","Chaparral, Cismontane woodland, Coastal dunes","Sandy; often disturbed areas","60","195","120","395","T","","SBA","Los Alamos (3412063), Lompoc (3412064), Surf (3412065)","13","0","2","1","0","0","10","1","12","13","0","0","Threatened by development, vehicles, and non-native plants. See Systematic Botany Monographs 75:134 (2005) for original description, Phytoneuron 2012-39:1-60 (2012) and Phytoneuron 2012-47:1-6 (2012) for revised nomenclature, and the latter also for taxonomic treatment.","Diplacus vandenbergensis (D.M. Thomps.) G.L. Nesom","Mimulus fremontii var. vandenbergensis","PDSCR1B381","","","","2006-06-07","","2016-10-17",
"Dithyrea maritima","beach spectaclepod","Brassicaceae","perennial rhizomatous herb","1B.1","G1","S1","CT","None","Mar-May","Coastal dunes, Coastal scrub (sandy)","","3","5","50","165","F","BA","LAX, SBA, SCT, SLO, SMI, SNI, VEN","Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Redondo Beach (3311874), Venice (3311884), San Nicolas Island (3311924), San Miguel Island East (3312083), San Miguel Island West (3312084), Beverly Hills (3411814), Topanga (3411815), Surf (3412065), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086), Oceano (3512015), Pismo Beach (3512026), Morro Bay South (3512037)","28","2","4","0","1","3","18","17","11","25","0","3","Extirpated from half of its historical range.  Need historical quads for SCT Isl.  Last seen in LAX Co. in 1932.  Threatened by trampling, vehicles, and non-native plants.  See Erythea 2:179 (1894) for original description.","Dithyrea maritima A. Davids.","","PDBRA10020","DIMA6","","","1980-01-01","","2010-03-15",
"Dudleya blochmaniae ssp. blochmaniae","Blochman's dudleya","Crassulaceae","perennial herb","1B.1","G3T2","S2","None","None","Apr-Jun","Coastal bluff scrub, Chaparral, Coastal scrub, Valley and foothill grassland","rocky, often clay or serpentinite","5","15","450","1475","F","BA","LAX, ORA, SBA, SDG, SLO, VEN","Imperial Beach (3211751), La Jolla (3211772), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), San Clemente (3311745), Dana Point (3311746), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Calabasas (3411826), Newbury Park (3411828), Camarillo (3411921), Surf (3412065), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086), Pismo Beach (3512026), San Luis Obispo (3512036), Morro Bay South (3512037), Morro Bay North (3512047), Cayucos (3512048), Cambria (3512151), San Simeon (3512162)","81","5","15","5","1","5","50","30","51","76","2","3","Threatened by grazing, trampling, development, erosion, and non-native plants.  Northern and southern populations genetically distinct.","Dudleya blochmaniae (Eastw.) Moran ssp. blochmaniae","","PDCRA04051","DUBLB","","","1974-01-01","","2012-07-31",
"Dudleya cymosa ssp. agourensis","Agoura Hills dudleya","Crassulaceae","perennial herb","1B.2","G5T1","S1","None","FT","May-Jun","Chaparral, Cismontane woodland","rocky, volcanic","200","655","500","1640","T","","LAX, VEN","Point Dume (3411817), Calabasas (3411826), Thousand Oaks (3411827)","8","2","3","0","0","0","3","3","5","8","0","0","Known only from the western Santa Monica Mtns.  Threatened by development.  Possibly threatened by foot traffic.  A synonym of D. cymosa ssp. ovatifolia in The Jepson Manual; USFWS also uses this name.  See Madroño 34(4):339 (1987) for original description.","Dudleya cymosa (Lemaire) Britton & Rose ssp. agourensis K. Nakai","","PDCRA040A7","DUCYA","","","1980-01-01","","2011-10-06",
"Dudleya cymosa ssp. marcescens","marcescent dudleya","Crassulaceae","perennial herb","1B.2","G5T2","S2","CR","FT","Apr-Jul","Chaparral","volcanic, rocky","150","490","520","1705","T","","LAX, VEN","Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Newbury Park (3411828)","14","1","7","1","0","0","5","2","12","14","0","0","Threatened by development and foot traffic.  See Madroño 14(3):106 (1957) for original description.","Dudleya cymosa (Lem.) Britt. & Rose ssp. marcescens Moran","","PDCRA040A3","DUCYM","","","1974-01-01","","2019-05-07",
"Dudleya parva","Conejo dudleya","Crassulaceae","perennial herb","1B.2","G1","S1","None","FT","May-Jun","Coastal scrub, Valley and foothill grassland","rocky or gravelly, clay or volcanic","60","195","450","1475","T","","VEN","Thousand Oaks (3411827), Newbury Park (3411828), Simi (3411837)","13","2","5","4","0","0","2","4","9","13","0","0","Known only from the western end of Simi Hills to Conejo Grade.  Threatened by horticultural collecting, recreation, vehicles, and urbanization.  Potentially threatened by development.  Federally-listed as D. abramsii ssp. parva; see this name in The Jepson Manual (1993).  See Bulletin of the Southern California Academy of Sciences 22:5 (1923) for original description, and Madroño 30(3):191 (1983) for distributional information.","Dudleya parva Rose & Davids.","Dudleya abramsii ssp. parva","PDCRA04016","DUABP","","","1974-01-01","","2015-01-07",
"Dudleya verityi","Verity's dudleya","Crassulaceae","perennial herb","1B.1","G1","S1","None","FT","May-Jun","Chaparral, Cismontane woodland, Coastal scrub","volcanic, rocky","60","195","120","395","T","","VEN","Newbury Park (3411828), Camarillo (3411921)","8","0","0","0","0","0","8","1","7","8","0","0","Seriously threatened by the 2013 Springs Fire.  Threatened by mining, flood control activities, development, and non-native plants.  See Cactus and Succulent Journal 55:196-200 (1983) for original description.","Dudleya verityi K. Nakai","","PDCRA040U0","DUVE","","","1984-01-01","","2019-05-07",
"Dudleya virens ssp. insularis","island green dudleya","Crassulaceae","perennial herb","1B.2","G3?T3","S3","None","None","Apr-Jun","Coastal bluff scrub, Coastal scrub","rocky","5","15","300","985","T","","LAX, SCT, SNI, VEN","Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), San Pedro (3311863), Redondo Beach (3311874), San Nicolas Island (3311924)","23","0","4","0","0","0","19","19","4","23","0","0","Threatened by development.  See Bulletin of the New York Botanical Garden 3(9):35 (1903) for original description, and Haseltonia 3:2 (1995) for revised nomenclature.","Dudleya virens (Rose) Moran ssp. insularis (Rose) Moran","","PDCRA040S2","DUVII","","","2001-01-01","","2011-01-05",
"Eleocharis parvula","small spikerush","Cyperaceae","perennial herb","4.3","G5","S3","None","None","(Apr)Jun-Aug(Sep)","Marshes and swamps","","1","0","3020","9910","F","AL, AR, AZ, CO, CT, DE, FL, GA, IA, ID, IL, KS, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WY","BUT, CCA, GLE, HUM, MNO, NAP, ORA, PLU, SIS, SLO, SON, VEN","Santa Margarita (3512045), Vine Hill (3812211), Cuttings Wharf (3812223), Petaluma River (3812225), Bodega Head (3812331), Chester (4012132), Fall River Mills (4112114)","","","","","","","","","","","","","See Wasmann Journal of Biology 33(1-2):98 (1975) for discussion of CA distribution.","Eleocharis parvula (Roemer & Schultes) Link ex Bluff, Nees & Schauer","Heleocharis parvula","PMCYP091G0","ELPA5","","","1980-01-01","","2011-06-06",
"Eremalche parryi ssp. kernensis","Kern mallow","Malvaceae","annual herb","1B.2","G3G4T3","S3","None","FE","Jan,Mar,Apr,May(Feb)","Chenopod scrub, Pinyon and juniper woodland, Valley and foothill grassland","On dry, open sandy to clay soils; often at edge of balds","70","225","1290","4230","T","","KNG, KRN, SBA, SLO, TUL, VEN","Grapevine (3411888), Apache Canyon (3411973), Cuyama Peak (3411974), Eagle Rest Peak (3411982), Santiago Creek (3411983), Ballinger Canyon (3411984), Cuyama (3411985), Peak Mountain (3411987), Tejon Ranch (3511816), Tejon Hills (3511817), Arvin (3511827), Bena (3511836), Rio Bravo Ranch (3511847), Oil Center (3511848), Coal Oil Canyon (3511911), Pentland (3511913), Maricopa (3511914), Elkhorn Hills (3511915), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Conner (3511921), Mouth of Kern (3511923), Taft (3511924), Fellows (3511925), Panorama Hills (3511926), Painted Rock (3511927), Chimineas Ranch (3511928), Stevens (3511932), Tupman (3511933), East Elk Hills (3511934), West Elk Hills (3511935), Reward (3511936), McKittrick Summit (3511937), Simmler (3511938), Rosedale (3511942), Rio Bravo (3511943), Buttonwillow (3511944), Lokern (3511945), Belridge (3511946), Wasco (3511953), Semitropic (3511955), Lost Hills NE (3511965), Lost Hills NW (3511966), Delano West (3511973), Pixley (3511983), La Panza Ranch (3512042), Camatta Ranch (3512043), Packwood Creek (3512051), Tent Hills (3512072), La Cima (3612011)","184","15","30","36","11","3","89","46","138","181","1","2","Threatened by agriculture, grazing, road construction and maintenance, vehicles, and oil development. Possibly threatened by non-native plants. See Occasional Papers Rancho Santa Ana Botanic Garden 1(2):66-67 (1938) for original description and Phytologia 72(1):48-54 (1992) for taxonomic treatment and revised nomenclature.","Eremalche parryi (Greene) Greene ssp. kernensis (C.B. Wolf) D.M. Bates","Eremalche kernensis, Malvastrum kernense","PDMAL0C031","ERPAK","","","1974-01-01","","2016-08-26",
